"station","date","tmin","tmax"
"Esparto.A",2020-01-01,38,55
"Esparto.A",2020-01-02,36,67
"Esparto.A",2020-01-03,33,59
"Esparto.A",2020-01-04,37,59
"Esparto.A",2020-01-05,38,63
"Esparto.A",2020-01-06,36,58
"Esparto.A",2020-01-07,30,53
"Esparto.A",2020-01-08,41,50
"Esparto.A",2020-01-09,37,53
"Esparto.A",2020-01-10,32,55
"Esparto.A",2020-01-11,42,61
"Esparto.A",2020-01-12,37,57
"Esparto.A",2020-01-13,39,58
"Esparto.A",2020-01-14,38,57
"Esparto.A",2020-01-15,31,51
"Esparto.A",2020-01-16,39,58
"Esparto.A",2020-01-17,34,47
"Esparto.A",2020-01-18,35,54
"Esparto.A",2020-01-19,36,48
"Esparto.A",2020-01-20,39,53
"Esparto.A",2020-01-21,38,58
"Esparto.A",2020-01-22,42,60
"Esparto.A",2020-01-23,42,57
"Esparto.A",2020-01-24,41,60
"Esparto.A",2020-01-25,46,62
"Esparto.A",2020-01-26,54,67
"Esparto.A",2020-01-27,50,64
"Esparto.A",2020-01-28,49,62
"Esparto.A",2020-01-29,46,69
"Esparto.A",2020-01-30,43,67
"Esparto.A",2020-01-31,39,67
"Esparto.A",2020-02-01,42,67
"Esparto.A",2020-02-02,43,59
"Esparto.A",2020-02-03,40,55
"Esparto.A",2020-02-04,38,57
"Esparto.A",2020-02-05,33,63
"Esparto.A",2020-02-06,33,67
"Esparto.A",2020-02-07,33,65
"Esparto.A",2020-02-08,34,64
"Esparto.A",2020-02-09,48,62
"Esparto.A",2020-02-10,52,73
"Esparto.A",2020-02-11,44,76
"Esparto.A",2020-02-12,35,68
"Esparto.A",2020-02-13,34,65
"Esparto.A",2020-02-14,38,66
"Esparto.A",2020-02-15,37,66
"Esparto.A",2020-02-16,49,67
"Esparto.A",2020-02-17,53,71
"Esparto.A",2020-02-18,44,67
"Esparto.A",2020-02-19,36,67
"Esparto.A",2020-02-20,39,67
"Esparto.A",2020-02-21,40,74
"Esparto.A",2020-02-22,43,76
"Esparto.A",2020-02-23,42,64
"Esparto.A",2020-02-24,38,75
"Esparto.A",2020-02-25,47,77
"Esparto.A",2020-02-26,40,75
"Esparto.A",2020-02-27,43,77
"Esparto.A",2020-02-28,43,74
"Esparto.A",2020-02-29,50,69
"Esparto.A",2020-03-01,46,62
"Esparto.A",2020-03-02,50,72
"Esparto.A",2020-03-03,46,81
"Esparto.A",2020-03-04,41,77
"Esparto.A",2020-03-05,40,74
"Esparto.A",2020-03-06,43,63
"Esparto.A",2020-03-07,38,60
"Esparto.A",2020-03-08,36,58
"Esparto.A",2020-03-09,47,66
"Esparto.A",2020-03-10,40,76
"Esparto.A",2020-03-11,41,73
"Esparto.A",2020-03-12,45,81
"Esparto.A",2020-03-13,44,68
"Esparto.A",2020-03-14,45,55
"Esparto.A",2020-03-15,44,55
"Esparto.A",2020-03-16,39,49
"Esparto.A",2020-03-17,41,55
"Esparto.A",2020-03-18,43,53
"Esparto.A",2020-03-19,36,61
"Esparto.A",2020-03-20,35,64
"Esparto.A",2020-03-21,39,66
"Esparto.A",2020-03-22,40,69
"Esparto.A",2020-03-23,45,65
"Esparto.A",2020-03-24,40,58
"Esparto.A",2020-03-25,36,57
"Esparto.A",2020-03-26,34,61
"Esparto.A",2020-03-27,35,63
"Esparto.A",2020-03-28,46,58
"Esparto.A",2020-03-29,46,62
"Esparto.A",2020-03-30,45,67
"Esparto.A",2020-03-31,52,72
"Esparto.A",2020-04-01,46,66
"Esparto.A",2020-04-02,46,69
"Esparto.A",2020-04-03,40,67
"Esparto.A",2020-04-04,42,57
"Esparto.A",2020-04-05,45,56
"Esparto.A",2020-04-06,40,59
"Esparto.A",2020-04-07,42,66
"Esparto.A",2020-04-08,44,64
"Esparto.A",2020-04-09,49,64
"Esparto.A",2020-04-10,51,73
"Esparto.A",2020-04-11,47,72
"Esparto.A",2020-04-12,47,75
"Esparto.A",2020-04-13,48,77
"Esparto.A",2020-04-14,51,80
"Esparto.A",2020-04-15,43,81
"Esparto.A",2020-04-16,49,80
"Esparto.A",2020-04-17,50,73
"Esparto.A",2020-04-18,49,70
"Esparto.A",2020-04-19,42,72
"Esparto.A",2020-04-20,49,70
"Esparto.A",2020-04-21,45,78
"Esparto.A",2020-04-22,49,77
"Esparto.A",2020-04-23,59,84
"Esparto.A",2020-04-24,54,90
"Esparto.A",2020-04-25,63,89
"Esparto.A",2020-04-26,56,85
"Esparto.A",2020-04-27,53,85
"Esparto.A",2020-04-28,61,89
"Esparto.A",2020-04-29,57,84
"Esparto.A",2020-04-30,62,82
"Esparto.A",2020-05-01,53,83
"Esparto.A",2020-05-02,57,73
"Esparto.A",2020-05-03,49,77
"Esparto.A",2020-05-04,48,82
"Esparto.A",2020-05-05,48,83
"Esparto.A",2020-05-06,51,85
"Esparto.A",2020-05-07,53,83
"Esparto.A",2020-05-08,52,93
"Esparto.A",2020-05-09,51,91
"Esparto.A",2020-05-10,52,82
"Esparto.A",2020-05-11,49,71
"Esparto.A",2020-05-12,52,85
"Esparto.A",2020-05-13,54,86
"Esparto.A",2020-05-14,50,70
"Esparto.A",2020-05-15,56,79
"Esparto.A",2020-05-16,60,79
"Esparto.A",2020-05-17,55,85
"Esparto.A",2020-05-18,52,69
"Esparto.A",2020-05-19,51,73
"Esparto.A",2020-05-20,47,76
"Esparto.A",2020-05-21,53,83
"Esparto.A",2020-05-22,52,78
"Esparto.A",2020-05-23,58,87
"Esparto.A",2020-05-24,53,92
"Esparto.A",2020-05-25,57,96
"Esparto.A",2020-05-26,63,101
"Esparto.A",2020-05-27,66,100
"Esparto.A",2020-05-28,58,101
"Esparto.A",2020-05-29,57,89
"Esparto.A",2020-05-30,62,76
"Esparto.A",2020-05-31,58,79
"Esparto.A",2020-06-01,60,86
"Esparto.A",2020-06-02,60,95
"Esparto.A",2020-06-03,63,100
"Esparto.A",2020-06-04,60,98
"Esparto.A",2020-06-05,58,82
"Esparto.A",2020-06-06,58,78
"Esparto.A",2020-06-07,57,88
"Esparto.A",2020-06-08,58,83
"Esparto.A",2020-06-09,55,90
"Esparto.A",2020-06-10,63,96
"Esparto.A",2020-06-11,59,93
"Esparto.A",2020-06-12,58,76
"Esparto.A",2020-06-13,55,77
"Esparto.A",2020-06-14,59,84
"Esparto.A",2020-06-15,65,85
"Esparto.A",2020-06-16,60,81
"Esparto.A",2020-06-17,64,87
"Esparto.A",2020-06-18,59,94
"Esparto.A",2020-06-19,58,96
"Esparto.A",2020-06-20,56,91
"Esparto.A",2020-06-21,59,93
"Esparto.A",2020-06-22,59,99
"Esparto.A",2020-06-23,64,98
"Esparto.A",2020-06-24,62,99
"Esparto.A",2020-06-25,60,95
"Esparto.A",2020-06-26,59,95
"Esparto.A",2020-06-27,60,95
"Esparto.A",2020-06-28,59,87
"Esparto.A",2020-06-29,65,88
"Esparto.A",2020-06-30,60,91
"Esparto.A",2020-07-01,55,92
"Esparto.A",2020-07-02,55,88
"Esparto.A",2020-07-03,62,96
"Esparto.A",2020-07-04,53,93
"Esparto.A",2020-07-05,58,95
"Esparto.A",2020-07-06,56,90
"Esparto.A",2020-07-07,53,89
